Small Tertiary Planning Unit Group,Name of Small Tertiary Planning Unit Group  (in English),Name of Small Tertiary Planning Unit Group (in Chinese),Total population,Population  by sex,Population  by sex,Sex ratio (i.e. the number of males per 1 000 females in the respective age group),Median age by sex,Median age by sex,Median age by sex,Labour force,Labour force by sex,Labour force by sex,Labour force participation rate(4) by sex,Labour force participation rate(4) by sex,Labour force participation rate(4) by sex,Working population,Median monthly income from main employment (HK$) (excluding unpaid family workers) by sex,Median monthly income from main employment (HK$) (excluding unpaid family workers) by sex,Median monthly income from main employment (HK$) (excluding unpaid family workers) by sex,Median monthly income from main employment (HK$) (excluding foreign domestic helpers and unpaid family workers) by sex,Median monthly income from main employment (HK$) (excluding foreign domestic helpers and unpaid family workers) by sex,Median monthly income from main employment (HK$) (excluding foreign domestic helpers and unpaid family workers) by sex
Small Tertiary Planning Unit Group,Name of Small Tertiary Planning Unit Group  (in English),Name of Small Tertiary Planning Unit Group (in Chinese),Total population,Male ,Female,Sex ratio (i.e. the number of males per 1 000 females in the respective age group),Both sexes,Male,Female,Labour force,Male,Female,Both sexes,Male,Female,Working population,Both sexes,Male,Female,Both sexes,Male,Female
282,282,282,55350,26310,29040,906,47.8,48.1,47.5,29977,16037,13940,59.2,67.3,51.9,28079,14000,15500,12000,14800,15500,13000
283,283,283,60177,27747,32430,856,47.5,47.9,47.3,29796,15875,13921,54.8,64.5,46.8,27769,13000,15000,11000,13000,15000,12000
284,284,284,18871,8319,10552,788,39.7,39.7,39.6,9675,4743,4932,60.9,69.5,54.5,9085,13950,15000,12000,14750,15000,13680
285,285,285,16159,7250,8909,814,39.9,40,39.8,9441,4648,4793,67.2,76.6,60.1,9238,15000,18350,11250,15300,18350,13000
286,286,286,31054,14908,16146,923,43.5,44.4,43,15514,8676,6838,57.5,67.8,48.3,14253,11700,12750,10250,11750,12750,10250
287,287,287,18551,8402,10149,828,47.9,47.2,48.5,9218,4867,4351,54.8,64.5,46.9,8556,12000,13000,10600,12000,13000,11000
288S,288 - 289,288 - 289,66189,30501,35688,855,42.4,42.4,42.3,35507,18378,17129,61.3,69.4,54.4,33411,15000,15500,12800,15000,15500,14000
290,290,290,61703,27786,33917,819,40.7,41.6,40.3,33425,16255,17170,62.8,69.5,57.5,31737,15000,20000,12200,18000,20000,15000
291,291,291,86386,40420,45966,879,43,42.6,43.2,44961,23366,21595,59.4,67.6,52.6,41831,13000,14500,11500,13000,14500,12000
292,292,292,51018,23486,27532,853,46.2,46.2,46.2,24341,12838,11503,53.5,61.8,46.5,22876,13000,15000,11000,13740,15000,12000
293S,293 and 296,293 及 296,90170,43405,46765,928,43.3,42.5,43.8,46169,25132,21037,57.4,65.8,49.8,42779,12750,14260,11000,12980,14280,11500
294,294,294,161884,74939,86945,862,45.7,45,46.2,81644,43339,38305,56.5,65.8,48.6,77403,13000,15000,11250,13500,15000,12000
295,295,295,1060,508,552,920,34.9,36.4,34.3,620,400,220,73.5,88.5,56.1,576,7730,7920,7380,7730,7920,7380
297,297,297,101115,47841,53274,898,45.1,45.2,45,52894,28160,24734,58.6,66.6,51.6,49724,14500,15500,12250,15000,15500,13500
298,298,298,55730,25958,29772,872,40.4,40.3,40.4,30027,15722,14305,61.7,70,54.6,28179,15000,17500,12000,15000,17500,13000
310S,310 and 321,310 及 321,7802,3548,4254,834,48.4,46.9,49.4,4186,2331,1855,59.5,73.6,47.9,4056,15000,16000,12700,15000,16000,15000
320S,"320, 324 and 329","320, 324 及 329",116263,54168,62095,872,41.5,41.1,41.8,64790,32994,31796,63.8,71.4,57.4,60831,14500,16000,12000,15000,16000,14500
322,322,322,3861,1681,2180,771,44.3,48.8,42,2243,1017,1226,64.8,68.4,62,2115,17900,30000,10000,25000,30000,17500
323,323,323,80873,37178,43695,851,43.4,44,42.9,45718,22581,23137,63.4,69.2,58.5,43919,19000,21250,15000,20000,21250,18000
325,325,325,56832,26357,30475,865,47.6,47.2,48,29126,15339,13787,55.3,63.3,48.5,27319,12000,13000,11000,12250,13000,11500
326,326,326,167455,77651,89804,865,43.5,43.8,43.3,85340,44984,40356,58,67.1,50.3,80199,12250,14000,11000,12750,14000,11250
327,327,327,113647,54136,59511,910,42.9,42.9,42.9,57713,31032,26681,57.6,66.3,50,54399,12750,14040,11000,13000,14040,12000
328,328,328,57270,26307,30963,850,44.4,44.4,44.4,29976,15395,14581,58,65.9,51.5,28430,14370,15500,12000,15000,15500,13500
331S,"331 - 334, 336 and 340","331 - 334, 336 及 340",11656,5226,6430,813,43,44.9,41.7,6694,3395,3299,63.8,71.6,57.3,6423,20000,25000,13380,22000,25000,22000
335,335,335,26617,12146,14471,839,42.6,43.6,42,16382,8068,8314,69.3,76.8,63.3,15776,21250,26250,16000,25000,26250,23000
350,350,350,106497,49046,57451,854,42.7,42.7,42.8,59119,30594,28525,62.9,71.1,55.9,56308,15290,17000,13500,16000,17000,15000
351,351,351,77670,37100,40570,914,45.4,44.5,46,43845,23294,20551,61.9,70.2,54.6,41344,13670,15000,12000,14200,15000,13000
411S,411 - 416 and 427,411 - 416 及 427,7986,3967,4019,987,43.6,45.5,42.2,3502,1805,1697,49.1,51.5,46.8,3421,15500,20000,10000,20000,20000,20000
421S,421 - 422,421 - 422,87323,40896,46427,881,43.9,44.4,43.5,45950,24795,21155,59.5,69.2,51.1,43706,15000,16000,12000,15000,16000,13000
423S,423 and 428,423 及 428,170753,80919,89834,901,45.1,45.4,44.9,90557,50357,40200,59.1,69.7,49.7,85374,13500,15000,12000,14000,15000,12000
424,424,424,108898,50027,58871,850,44.3,44,44.6,56184,29539,26645,58,67.3,50.2,53127,15000,16000,12000,15000,16000,13000
425,425,425,70985,32672,38313,853,40.6,41.4,39.9,39372,20500,18872,62.7,72.6,54.7,37303,15000,17680,13000,16000,17680,15000
426,426,426,18195,8161,10034,813,42.5,45.1,41.4,9820,4738,5082,63.6,70,58.6,9537,22260,31250,13500,30000,33750,26000
